
43,30,1,10,2,50,41,3,6
54,41,0,7,6,50,22,10,18
61,30,10,15,6,50,18,17,15
61,30,10,15,6,50,18,17,15
58,18,16,21,3,50,14,26,10
90,29,35,14,12,50,14,27,9
78,20,38,15,5,50,4,36,10
18,10,1,3,4,14,1,9,4
24,11,3,6,4,17,3,13,1
92,37,25,5,25,50,7,33,10
50,22,11,4,13,39,3,29,7
89,46,11,1,31,50,0,38,12
85,35,16,5,29,31,0,28,3
90,34,6,5,45,31,3,26,2
79,40,17,1,21,21,0,20,1
82,38,13,4,27,26,0,24,2
3,1,1,0,1,3,0,3,0
2,0,1,0,1,2,0,2,0
79,33,8,6,32,25,0,25,0
85,54,5,7,19,20,0,20,0
6,4,1,0,1,2,0,2,0
87,45,11,1,30,19,0,19,0
81,37,10,4,30,21,0,21,0
6,5,1,0,0,3,0,2,1
5,1,2,0,2,6,0,6,0
74,29,13,6,26,21,0,21,0
10,5,1,1,3,5,0,5,0
85,42,8,3,32,24,1,23,0
4,3,1,0,0,0,0,0,0
84,45,7,1,31,26,0,26,0
2,0,1,0,1,1,0,1,0
55,21,26,0,8,12,0,12,0
3,1,1,0,1,1,0,1,0
1,0,1,0,0,0,0,0,0
84,38,9,3,34,28,0,27,1
17,11,2,0,4,11,0,10,1
76,45,11,1,19,27,0,27,0
86,38,7,2,39,30,0,30,0
86,42,8,4,32,30,0,30,0
3,0,0,0,3,5,0,5,0
77,34,12,4,27,41,0,40,1
20,11,4,0,5,10,0,10,0
13,10,2,0,1,7,0,7,0
5,4,1,0,0,0,0,0,0
4,1,1,0,2,5,0,5,0
89,41,8,2,38,44,0,42,2
86,44,10,1,31,27,0,27,0
5,4,1,0,0,1,0,1,0
83,43,14,1,25,25,0,25,0
9,5,1,0,3,6,0,6,0
3,1,1,0,1,2,0,2,0
4,3,1,0,0,0,0,0,0
4,3,1,0,0,2,0,1,1
4,0,2,0,2,6,0,6,0
5,4,1,0,0,2,0,2,0
28,18,2,0,8,11,0,11,0
4,0,1,0,3,3,0,3,0
81,45,9,2,25,23,0,23,0
16,11,2,1,2,10,0,10,0
13,11,2,0,0,7,1,6,0
86,41,7,1,37,15,0,15,0
82,43,8,0,31,21,0,21,0
5,1,1,0,3,5,0,5,0
79,41,7,0,31,32,0,32,0
3,0,1,0,2,2,0,2,0
3,0,1,0,2,1,0,1,0
4,0,0,0,4,1,0,1,0
4,1,1,0,2,5,0,5,0
5,4,1,0,0,5,0,5,0
5,4,1,0,0,1,0,1,0
5,4,1,0,0,4,0,4,0
7,6,1,0,0,5,0,5,0
87,47,9,0,31,31,0,31,0
5,4,1,0,0,4,0,4,0
37,22,5,0,10,13,0,13,0
7,6,1,0,0,6,0,6,0
6,5,1,0,0,3,0,3,0
72,42,12,0,18,21,0,21,0
87,37,8,0,42,34,0,34,0
4,1,1,0,2,4,0,4,0
79,47,11,0,21,24,0,24,0
4,0,1,0,3,5,0,5,0
4,2,1,0,1,3,0,3,0
21,13,3,0,5,7,0,7,0
5,4,1,0,0,3,0,3,0
3,0,1,0,2,2,0,2,0
5,4,1,0,0,2,0,2,0
82,43,6,0,33,33,0,33,0
6,5,1,0,0,5,0,5,0
5,4,1,0,0,3,0,3,0
88,45,7,0,36,31,0,31,0
88,50,9,1,28,27,0,27,0
13,8,2,0,3,8,0,8,0
3,0,1,0,2,5,0,4,1
81,55,8,0,18,34,0,34,0
74,37,9,1,27,27,0,27,0
79,41,7,0,31,25,0,25,0
84,48,6,0,30,19,0,19,0
5,4,1,0,0,1,0,1,0
4,0,1,0,3,1,0,1,0
8,7,1,0,0,6,0,6,0
74,48,6,0,20,16,0,16,0
3,0,1,0,2,5,0,5,0
85,46,7,0,32,22,0,22,0
14,10,2,0,2,7,0,7,0
91,45,7,0,39,32,0,32,0
92,51,8,1,32,27,0,27,0
4,2,1,0,1,1,0,1,0
4,2,1,0,1,1,0,1,0
9,6,2,0,1,9,0,9,0
12,6,2,0,4,10,0,9,1
14,6,2,0,6,9,0,9,0
11,8,2,0,1,7,0,7,0
89,40,9,0,40,25,0,25,0
82,42,6,0,34,25,0,25,0
25,17,3,0,5,8,0,8,0
4,1,0,0,3,1,0,1,0
3,0,1,0,2,2,0,2,0
6,5,1,0,0,2,0,2,0
25,17,3,0,5,11,0,11,0
80,42,8,0,30,26,0,26,0
5,4,1,0,0,2,0,2,0
