
67,50,1,12,4,50,30,4,16
44,19,2,19,4,50,26,14,10
21,12,1,8,0,35,15,9,11
21,12,1,8,0,35,15,9,11
90,41,29,14,6,50,17,23,10
79,20,34,17,8,50,11,30,9
72,19,32,12,9,50,9,34,7
92,35,34,5,18,50,9,33,8
75,27,22,10,16,50,2,35,13
87,35,18,2,32,38,0,33,5
86,39,13,5,29,39,4,27,8
88,28,17,1,42,44,5,36,3
80,38,7,5,30,19,1,13,5
87,50,12,1,24,24,1,21,2
19,10,1,3,5,11,3,7,1
24,21,1,1,1,10,1,9,0
82,32,12,6,32,22,0,22,0
89,37,7,4,41,24,1,22,1
4,0,0,0,4,5,0,5,0
5,4,1,0,0,2,1,1,0
76,32,5,5,34,19,0,19,0
32,14,3,5,10,14,0,14,0
31,18,3,1,9,11,0,11,0
84,55,7,1,21,25,0,25,0
79,46,15,3,15,25,1,21,3
4,0,0,0,4,5,0,5,0
86,33,7,3,43,27,1,26,0
3,0,1,0,2,3,0,3,0
76,45,7,1,23,22,0,22,0
81,39,9,5,28,34,0,33,1
2,0,1,0,1,2,0,2,0
1,0,1,0,0,0,0,0,0
2,0,1,0,1,0,0,0,0
2,0,1,0,1,1,0,1,0
1,0,1,0,0,0,0,0,0
88,43,9,3,33,27,0,27,0
86,45,8,1,32,32,1,31,0
84,35,10,3,36,32,0,31,1
3,0,1,0,2,2,0,2,0
3,0,1,0,2,1,0,1,0
94,40,9,2,43,33,1,31,1
89,47,8,3,31,34,0,34,0
20,14,2,0,4,6,0,5,1
2,0,1,0,1,0,0,0,0
20,9,4,0,7,12,0,12,0
33,22,3,1,7,15,0,15,0
83,43,7,1,32,33,0,33,0
6,5,1,0,0,1,0,1,0
4,2,1,0,1,1,0,1,0
2,0,1,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0
3,1,1,0,1,2,0,2,0
3,1,1,0,1,5,0,5,0
82,44,10,1,27,28,0,28,0
2,0,1,0,1,0,0,0,0
5,4,1,0,0,1,0,1,0
5,4,1,0,0,2,0,2,0
5,4,1,0,0,3,0,3,0
87,50,13,1,23,27,0,27,0
3,1,1,0,1,4,0,3,1
6,5,1,0,0,3,0,3,0
3,0,1,0,2,3,0,3,0
82,54,8,0,20,27,0,27,0
4,1,1,0,2,3,0,3,0
4,1,1,0,2,3,0,3,0
78,42,6,0,30,27,0,27,0
4,2,1,0,1,5,0,5,0
3,0,0,0,3,3,0,3,0
4,0,2,0,2,5,0,5,0
4,3,1,0,0,0,0,0,0
2,0,1,0,1,0,0,0,0
4,0,1,0,3,5,0,5,0
3,0,1,0,2,2,0,2,0
5,4,1,0,0,1,0,1,0
5,4,1,0,0,1,0,1,0
3,1,1,0,1,0,0,0,0
2,0,1,0,1,2,0,2,0
12,9,2,0,1,8,0,8,0
2,0,1,0,1,0,0,0,0
81,44,13,0,24,27,0,27,0
17,9,3,0,5,7,0,7,0
83,44,12,0,27,30,0,30,0
3,1,1,0,1,2,0,2,0
1,0,1,0,0,0,0,0,0
89,44,9,0,36,21,0,21,0
91,48,8,0,35,26,0,26,0
13,10,2,0,1,7,0,7,0
6,5,1,0,0,1,0,1,0
21,12,2,0,7,10,0,10,0
80,39,8,0,33,31,0,31,0
75,30,10,0,35,28,0,28,0
5,4,1,0,0,2,0,2,0
4,3,1,0,0,0,0,0,0
88,48,5,1,34,26,0,26,0
5,4,1,0,0,3,0,3,0
84,42,6,0,36,29,0,29,0
74,38,8,0,28,29,0,29,0
4,1,0,0,3,2,0,2,0
3,0,1,0,2,3,0,3,0
81,47,7,0,27,26,0,26,0
3,1,1,0,1,3,0,3,0
89,49,7,1,32,19,0,19,0
4,2,1,0,1,3,0,3,0
3,0,1,0,2,2,0,2,0
5,1,2,0,2,6,0,6,0
4,3,1,0,0,1,0,1,0
3,0,1,0,2,1,0,1,0
75,41,7,0,27,20,0,20,0
3,0,1,0,2,3,0,3,0
84,42,7,1,34,17,0,17,0
4,3,1,0,0,1,0,1,0
3,0,1,0,2,4,0,3,1
8,5,1,0,2,4,0,4,0
3,0,1,0,2,2,0,2,0
2,0,1,0,1,1,0,1,0
5,2,2,0,1,5,0,5,0
4,1,0,0,3,1,0,1,0
2,0,1,0,1,0,0,0,0
5,4,1,0,0,1,0,1,0
3,1,1,0,1,0,0,0,0
3,1,1,0,1,0,0,0,0
4,3,1,0,0,1,0,1,0
6,5,1,0,0,3,0,3,0
3,0,1,0,2,3,0,3,0
3,0,1,0,2,3,0,3,0
4,3,1,0,0,1,0,1,0
4,2,1,0,1,5,0,5,0
4,2,1,0,1,2,0,2,0
5,3,1,0,1,1,0,1,0
3,0,1,0,2,3,0,3,0
4,0,1,0,3,4,0,4,0
86,52,6,0,28,19,0,19,0
3,0,1,0,2,5,0,5,0
87,46,8,0,33,27,0,27,0
3,0,1,0,2,4,0,4,0
63,40,8,0,15,15,0,15,0
84,40,5,0,39,29,0,29,0
6,5,1,0,0,3,0,3,0
85,42,7,0,36,28,0,28,0
3,0,0,0,3,3,0,3,0
33,25,3,0,5,12,0,12,0
86,50,11,0,25,19,0,19,0
80,43,9,0,28,28,0,28,0
10,8,1,0,1,7,0,7,0
2,0,1,0,1,2,0,2,0
